DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
2006-01-22,2006-01-28,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,905,R$/l,2.541,0.12,2.329,2.98,0.232,0.047,2.309,0.053,2.0889,2.5038,0.023,1,2006
2006-01-22,2006-01-28,SUDESTE,SAO PAULO,GASOLINA COMUM,3574,R$/l,2.398,0.102,2.13,2.71,0.254,0.043,2.144,0.058,2.04,2.59,0.027,1,2006
2006-01-29,2006-02-04,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,939,R$/l,2.548,0.115999999999999,2.339,2.98,0.238,0.046,2.31,0.053,2.17,2.5683,0.023,1,2006
2006-01-29,2006-02-04,SUDESTE,SAO PAULO,GASOLINA COMUM,3594,R$/l,2.395,0.100999999999999,2.07,2.699,0.254,0.042,2.141,0.057,2,2.591,0.027,1,2006
2006-02-05,2006-02-11,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,928,R$/l,2.542,0.118,2.33,2.999,0.228,0.046,2.314,0.055,2.17,2.6223,0.024,2,2006
2006-02-05,2006-02-11,SUDESTE,SAO PAULO,GASOLINA COMUM,3413,R$/l,2.395,0.100999999999999,2.099,2.71,0.26,0.042,2.135,0.054,2,2.591,0.025,2,2006
2006-02-12,2006-02-18,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,909,R$/l,2.554,0.114,2.339,2.99,0.24,0.045,2.314,0.054,2.1588,2.6339,0.023,2,2006
2006-02-12,2006-02-18,SUDESTE,SAO PAULO,GASOLINA COMUM,3052,R$/l,2.393,0.099,2.09,2.78,0.257,0.0409999999999999,2.136,0.048,2.005,2.565,0.022,2,2006
2006-02-19,2006-02-25,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,953,R$/l,2.547,0.116999999999999,2.34,2.999,0.235,0.046,2.312,0.056,2.17,2.549,0.024,2,2006
2006-02-19,2006-02-25,SUDESTE,SAO PAULO,GASOLINA COMUM,2960,R$/l,2.393,0.098,2.09,2.78,0.26,0.0409999999999999,2.133,0.051,2.04,2.565,0.024,2,2006
2006-02-26,2006-03-04,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,933,R$/l,2.573,0.118,2.339,2.98,0.249,0.046,2.324,0.061,2.17,2.6339,0.026,2,2006
2006-02-26,2006-03-04,SUDESTE,SAO PAULO,GASOLINA COMUM,3132,R$/l,2.446,0.108,2.12,2.799,0.295,0.044,2.151,0.059,2,2.586,0.027,2,2006
2006-03-05,2006-03-11,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,942,R$/l,2.609,0.118,2.33,3.04,0.264,0.045,2.345,0.063,2.1561,2.596,0.027,3,2006
2006-03-05,2006-03-11,SUDESTE,SAO PAULO,GASOLINA COMUM,3097,R$/l,2.495,0.106,2.18,2.84,0.294,0.042,2.201,0.07,2,2.678,0.032,3,2006
2006-03-12,2006-03-18,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,956,R$/l,2.606,0.119,2.359,3.04,0.253,0.046,2.353,0.056,2.17,2.658,0.024,3,2006
2006-03-12,2006-03-18,SUDESTE,SAO PAULO,GASOLINA COMUM,3272,R$/l,2.495,0.100999999999999,2.19,2.899,0.276,0.04,2.219,0.059,2.02,2.67,0.027,3,2006
2006-03-19,2006-03-25,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,952,R$/l,2.603,0.121,2.33,3.04,0.239,0.046,2.364,0.057,2.17,2.6191,0.024,3,2006
2006-03-19,2006-03-25,SUDESTE,SAO PAULO,GASOLINA COMUM,3304,R$/l,2.496,0.1,2.179,2.899,0.27,0.04,2.226,0.056,2.001,2.685,0.025,3,2006
2006-03-26,2006-04-01,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,946,R$/l,2.6,0.123,2.349,3.04,0.24,0.047,2.36,0.056,2.17,2.7615,0.024,3,2006
2006-03-26,2006-04-01,SUDESTE,SAO PAULO,GASOLINA COMUM,3220,R$/l,2.493,0.099,2.24,2.84,0.268,0.04,2.225,0.051,2.05,2.68,0.023,3,2006
2006-04-02,2006-04-08,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,946,R$/l,2.605,0.122,2.28,3.04,0.243,0.047,2.362,0.059,2.1349,2.6138,0.025,4,2006
2006-04-02,2006-04-08,SUDESTE,SAO PAULO,GASOLINA COMUM,3219,R$/l,2.493,0.100999999999999,2.19,2.899,0.268,0.0409999999999999,2.225,0.051,2.05,2.61,0.023,4,2006
2006-04-09,2006-04-15,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,949,R$/l,2.61,0.122,2.329,3.04,0.24,0.047,2.37,0.058,2.17,2.7673,0.024,4,2006
2006-04-09,2006-04-15,SUDESTE,SAO PAULO,GASOLINA COMUM,3228,R$/l,2.491,0.1,2.19,2.899,0.265,0.04,2.226,0.049,2.03,2.61,0.022,4,2006
2006-04-16,2006-04-22,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,949,R$/l,2.605,0.123,2.329,3.04,0.233,0.047,2.372,0.062,2.17,2.7673,0.026,4,2006
2006-04-16,2006-04-22,SUDESTE,SAO PAULO,GASOLINA COMUM,3228,R$/l,2.489,0.100999999999999,2.155,2.899,0.265,0.0409999999999999,2.224,0.049,2.03,2.6,0.022,4,2006
2006-04-23,2006-04-29,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,941,R$/l,2.606,0.121,2.269,3.034,0.231,0.046,2.375,0.059,2.17,2.6941,0.025,4,2006
2006-04-23,2006-04-29,SUDESTE,SAO PAULO,GASOLINA COMUM,3229,R$/l,2.487,0.100999999999999,2.17,2.997,0.265,0.0409999999999999,2.222,0.049,2,2.6,0.022,4,2006
2006-04-30,2006-05-06,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,940,R$/l,2.592,0.126,2.269,3.044,0.222,0.049,2.37,0.062,2.161,2.6731,0.026,4,2006
2006-04-30,2006-05-06,SUDESTE,SAO PAULO,GASOLINA COMUM,3244,R$/l,2.483,0.100999999999999,2.17,2.899,0.264,0.0409999999999999,2.219,0.05,2.016,2.6,0.023,4,2006
2006-05-07,2006-05-13,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,941,R$/l,2.6,0.126,2.32,3.05,0.234,0.048,2.366,0.056,2.17,2.6555,0.024,5,2006
2006-05-07,2006-05-13,SUDESTE,SAO PAULO,GASOLINA COMUM,3250,R$/l,2.476,0.106,2.19,2.99,0.263,0.043,2.213,0.051,2.02,2.6,0.023,5,2006
2006-05-14,2006-05-20,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,945,R$/l,2.601,0.124,2.329,3.05,0.245,0.048,2.356,0.054,2.17,2.604,0.023,5,2006
2006-05-14,2006-05-20,SUDESTE,SAO PAULO,GASOLINA COMUM,3260,R$/l,2.468,0.105,2.17,2.819,0.265,0.043,2.203,0.05,2.05,2.58,0.023,5,2006
2006-05-21,2006-05-27,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,939,R$/l,2.594,0.125,2.32,3.05,0.249,0.048,2.345,0.051,2.17,2.5654,0.022,5,2006
2006-05-21,2006-05-27,SUDESTE,SAO PAULO,GASOLINA COMUM,3206,R$/l,2.459,0.105,2.17,2.81,0.264,0.043,2.195,0.048,2.05,2.5,0.022,5,2006
2006-05-28,2006-06-03,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,939,R$/l,2.579,0.127,2.329,3.05,0.248,0.049,2.331,0.055,2.17,2.6546,0.024,5,2006
2006-05-28,2006-06-03,SUDESTE,SAO PAULO,GASOLINA COMUM,3205,R$/l,2.445,0.106,2.17,2.799,0.256,0.043,2.189,0.049,2.05,2.569,0.022,5,2006
2006-06-04,2006-06-10,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,946,R$/l,2.591,0.121,2.32,3.05,0.259,0.047,2.332,0.053,2.17,2.6847,0.023,6,2006
2006-06-04,2006-06-10,SUDESTE,SAO PAULO,GASOLINA COMUM,3263,R$/l,2.443,0.107,2.16,2.88,0.26,0.044,2.183,0.046,2.05,2.5305,0.021,6,2006
2006-06-11,2006-06-17,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,948,R$/l,2.564,0.13,2.32,3.05,0.244,0.051,2.32,0.055,2.17,2.6859,0.024,6,2006
2006-06-11,2006-06-17,SUDESTE,SAO PAULO,GASOLINA COMUM,3273,R$/l,2.445,0.109,2.14,2.899,0.261,0.045,2.184,0.047,2.05,2.5016,0.022,6,2006
2006-06-18,2006-06-24,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,943,R$/l,2.567,0.127,2.299,3.05,0.248,0.049,2.319,0.052,2.09,2.623,0.022,6,2006
2006-06-18,2006-06-24,SUDESTE,SAO PAULO,GASOLINA COMUM,3235,R$/l,2.449,0.108,2.16,2.799,0.269,0.044,2.18,0.047,2.05,2.566,0.022,6,2006
2006-06-25,2006-07-01,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,986,R$/l,2.57,0.126,2.28,3.05,0.25,0.049,2.32,0.056,2.089,2.6449,0.024,6,2006
2006-06-25,2006-07-01,SUDESTE,SAO PAULO,GASOLINA COMUM,3264,R$/l,2.443,0.107,2.17,2.79,0.265,0.044,2.178,0.047,2.05,2.4652,0.022,6,2006
2006-07-02,2006-07-08,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,941,R$/l,2.563,0.13,2.289,3.05,0.255,0.051,2.308,0.057,2.089,2.5319,0.025,7,2006
2006-07-02,2006-07-08,SUDESTE,SAO PAULO,GASOLINA COMUM,3298,R$/l,2.449,0.106,2.16,2.81,0.27,0.043,2.179,0.048,2.05,2.5678,0.022,7,2006
2006-07-09,2006-07-15,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1105,R$/l,2.566,0.131,2.28,3.05,0.259,0.051,2.307,0.063,2.089,2.5768,0.027,7,2006
2006-07-09,2006-07-15,SUDESTE,SAO PAULO,GASOLINA COMUM,3268,R$/l,2.447,0.105,2.14,2.79,0.263,0.043,2.184,0.046,2.05,2.5666,0.021,7,2006
2006-07-16,2006-07-22,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,941,R$/l,2.557,0.132,2.279,3.05,0.245,0.052,2.312,0.059,2.09,2.5768,0.026,7,2006
2006-07-16,2006-07-22,SUDESTE,SAO PAULO,GASOLINA COMUM,3250,R$/l,2.449,0.104,2.159,2.799,0.259,0.042,2.19,0.046,2.05,2.5268,0.021,7,2006
2006-07-23,2006-07-29,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1024,R$/l,2.554,0.133,2.279,3.099,0.242,0.052,2.312,0.063,2.0649,2.6908,0.027,7,2006
2006-07-23,2006-07-29,SUDESTE,SAO PAULO,GASOLINA COMUM,3212,R$/l,2.458,0.100999999999999,2.159,2.799,0.262,0.0409999999999999,2.196,0.047,2.1,2.555,0.021,7,2006
2006-07-30,2006-08-05,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1070,R$/l,2.558,0.131,2.269,3.05,0.248,0.051,2.31,0.057,2.09,2.6783,0.025,7,2006
2006-07-30,2006-08-05,SUDESTE,SAO PAULO,GASOLINA COMUM,3211,R$/l,2.458,0.104,2.159,2.99,0.262,0.042,2.196,0.046,2.08,2.556,0.021,7,2006
2006-08-06,2006-08-12,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1038,R$/l,2.556,0.135,2.26,3.05,0.24,0.053,2.316,0.062,1.91,2.6602,0.027,8,2006
2006-08-06,2006-08-12,SUDESTE,SAO PAULO,GASOLINA COMUM,3215,R$/l,2.453,0.105,2.159,2.99,0.256,0.043,2.197,0.046,2.1,2.569,0.021,8,2006
2006-08-13,2006-08-19,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1006,R$/l,2.547,0.138,2.26,3.05,0.234,0.054,2.313,0.063,1.91,2.6065,0.027,8,2006
2006-08-13,2006-08-19,SUDESTE,SAO PAULO,GASOLINA COMUM,3208,R$/l,2.451,0.105,2.159,2.999,0.256,0.043,2.195,0.046,2.091,2.5505,0.021,8,2006
2006-08-20,2006-08-26,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1106,R$/l,2.555,0.136,2.26,3.05,0.242,0.053,2.313,0.06,2.09,2.6852,0.026,8,2006
2006-08-20,2006-08-26,SUDESTE,SAO PAULO,GASOLINA COMUM,3242,R$/l,2.449,0.104,2.159,2.799,0.255,0.042,2.194,0.045,2.1,2.5601,0.021,8,2006
2006-08-27,2006-09-02,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1112,R$/l,2.555,0.132,2.26,3.05,0.243,0.052,2.312,0.057,2.09,2.6065,0.025,8,2006
2006-08-27,2006-09-02,SUDESTE,SAO PAULO,GASOLINA COMUM,3230,R$/l,2.446,0.106,2.15,2.799,0.255,0.043,2.191,0.047,2.095,2.5158,0.021,8,2006
2006-09-03,2006-09-09,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1039,R$/l,2.547,0.136,2.27,3.05,0.237,0.053,2.31,0.06,2.09,2.6852,0.026,9,2006
2006-09-03,2006-09-09,SUDESTE,SAO PAULO,GASOLINA COMUM,3238,R$/l,2.445,0.105,2.159,2.71,0.26,0.043,2.185,0.045,2.04,2.56,0.021,9,2006
2006-09-10,2006-09-16,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1098,R$/l,2.554,0.134,2.269,3.05,0.242,0.052,2.312,0.057,2.0915,2.7103,0.025,9,2006
2006-09-10,2006-09-16,SUDESTE,SAO PAULO,GASOLINA COMUM,3236,R$/l,2.439,0.107,2.149,2.87,0.256,0.044,2.183,0.046,2.08,2.4957,0.021,9,2006
2006-09-17,2006-09-23,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1120,R$/l,2.55,0.131,2.269,3.05,0.242,0.051,2.308,0.056,2.0866,2.6065,0.024,9,2006
2006-09-17,2006-09-23,SUDESTE,SAO PAULO,GASOLINA COMUM,3244,R$/l,2.447,0.106,2.15,2.899,0.268,0.043,2.179,0.046,2.0699,2.4868,0.021,9,2006
2006-09-24,2006-09-30,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1099,R$/l,2.554,0.132,2.26,3.05,0.245,0.052,2.309,0.055,1.91,2.69,0.024,9,2006
2006-09-24,2006-09-30,SUDESTE,SAO PAULO,GASOLINA COMUM,3228,R$/l,2.436,0.108,2.15,2.989,0.263,0.044,2.173,0.046,2.006,2.516,0.021,9,2006
2006-10-01,2006-10-07,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,917,R$/l,2.546,0.138,2.269,3.05,0.239,0.054,2.307,0.054,2.1457,2.6652,0.023,10,2006
2006-10-01,2006-10-07,SUDESTE,SAO PAULO,GASOLINA COMUM,2946,R$/l,2.453,0.100999999999999,2.159,2.799,0.282,0.0409999999999999,2.171,0.045,2.0106,2.4606,0.021,10,2006
2006-10-08,2006-10-14,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,879,R$/l,2.541,0.138,2.26,3.05,0.238,0.054,2.303,0.053,2.179,2.6652,0.023,10,2006
2006-10-08,2006-10-14,SUDESTE,SAO PAULO,GASOLINA COMUM,2935,R$/l,2.438,0.103,2.159,2.749,0.269,0.042,2.169,0.045,2.0611,2.4606,0.021,10,2006
2006-10-15,2006-10-21,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,875,R$/l,2.536,0.138,2.269,3.05,0.234,0.054,2.302,0.054,2.09,2.5865,0.023,10,2006
2006-10-15,2006-10-21,SUDESTE,SAO PAULO,GASOLINA COMUM,2988,R$/l,2.439,0.104,2.15,2.899,0.272,0.043,2.167,0.047,2.0602,2.4808,0.022,10,2006
2006-10-22,2006-10-28,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,877,R$/l,2.539,0.136,2.26,3.05,0.239,0.054,2.3,0.056,2.0902,2.6367,0.024,10,2006
2006-10-22,2006-10-28,SUDESTE,SAO PAULO,GASOLINA COMUM,2984,R$/l,2.434,0.105,2.159,2.799,0.267,0.043,2.167,0.047,2.002,2.531,0.022,10,2006
2006-10-29,2006-11-04,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,877,R$/l,2.529,0.14,2.269,3.05,0.236,0.055,2.293,0.055,2.1492,2.6367,0.024,10,2006
2006-10-29,2006-11-04,SUDESTE,SAO PAULO,GASOLINA COMUM,2983,R$/l,2.433,0.103,2.15,2.71,0.271,0.042,2.162,0.047,2,2.5218,0.022,10,2006
2006-11-05,2006-11-11,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,879,R$/l,2.536,0.138,2.26,3.05,0.242,0.054,2.294,0.054,2.1492,2.6367,0.024,11,2006
2006-11-05,2006-11-11,SUDESTE,SAO PAULO,GASOLINA COMUM,2990,R$/l,2.418,0.107,2.15,2.71,0.258,0.044,2.16,0.048,2,2.48,0.022,11,2006
2006-11-12,2006-11-18,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,875,R$/l,2.531,0.138,2.25,3.05,0.237,0.055,2.294,0.053,2.09,2.599,0.023,11,2006
2006-11-12,2006-11-18,SUDESTE,SAO PAULO,GASOLINA COMUM,2983,R$/l,2.438,0.102,2.15,2.749,0.274,0.042,2.164,0.046,2.02,2.4806,0.021,11,2006
2006-11-19,2006-11-25,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,872,R$/l,2.538,0.142,2.26,3.05,0.247,0.0559999999999999,2.291,0.058,2.0785,2.5412,0.025,11,2006
2006-11-19,2006-11-25,SUDESTE,SAO PAULO,GASOLINA COMUM,3016,R$/l,2.422,0.106,2.15,2.799,0.267,0.044,2.155,0.047,1.955,2.4678,0.022,11,2006
2006-11-26,2006-12-02,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,881,R$/l,2.534,0.138,2.27,3.05,0.244,0.054,2.29,0.053,2.09,2.4915,0.023,11,2006
2006-11-26,2006-12-02,SUDESTE,SAO PAULO,GASOLINA COMUM,3020,R$/l,2.419,0.106,2.13,2.799,0.279,0.044,2.14,0.051,2.03,2.5183,0.024,11,2006
2006-12-03,2006-12-09,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,887,R$/l,2.531,0.139,2.26,3.05,0.249,0.055,2.282,0.055,2.0801,2.4915,0.024,12,2006
2006-12-03,2006-12-09,SUDESTE,SAO PAULO,GASOLINA COMUM,3020,R$/l,2.422,0.107,2.139,2.71,0.287,0.044,2.135,0.051,2.02,2.459,0.024,12,2006
2006-12-10,2006-12-16,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,887,R$/l,2.531,0.14,2.27,3.05,0.252,0.055,2.279,0.055,2.0857,2.5412,0.024,12,2006
2006-12-10,2006-12-16,SUDESTE,SAO PAULO,GASOLINA COMUM,3044,R$/l,2.414,0.106,2.13,2.799,0.286,0.044,2.128,0.051,2.013,2.4808,0.024,12,2006
2006-12-17,2006-12-23,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,885,R$/l,2.527,0.143,2.259,3.05,0.251,0.057,2.276,0.056,2.0801,2.4915,0.025,12,2006
